"Symbol","Name","IPO date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"BFLY","Butterfly Network, Inc. Class A","08/27/2015","$1,717,142,638","Medical Devices","0.96","0.71","10.10","167,526,111","1,312,954","0.78%","Analyze"
"UP","Wheels Up Experience Inc. Class A","11/18/2020","$1,716,657,401","Airports & Air Services","0.97","0.73","6.85","245,587,611","1,133,821","0.46%","Analyze"
"OPAD","Offerpad Solutions Inc. Class A","12/11/2020","$1,714,466,931","Real Estate Services","1.01","0.80","8.10","223,528,935","1,810,709","0.81%","Analyze"
"AEVA","Aeva Technologies, Inc.","02/27/2020","$1,693,107,982","Auto Parts","0.99","0.70","7.72","212,168,920","764,758","0.36%","Analyze"
"SKIL","Skillsoft Corp. Class A","12/31/1997","$1,668,560,123","Education & Training Services","0.97","1.19","12.10","133,059,021","332,588","0.25%","Analyze"
"ACHR","Archer Aviation Inc. Class A","12/18/2020","$1,650,749,312","Aerospace & Defense","0.81","0.54","5.39","0","1,269,774","0.00%","Analyze"
"CYXT","Cyxtera Technologies, Inc. - Class A","11/02/2020","$1,598,375,266","Information Technology Services","1.04","0.99","9.79","165,978,740","285,622","0.17%","Analyze"
"PCT","PureCycle Technologies, Inc.","01/04/2000","$1,586,662,922","Pollution & Treatment Controls","0.93","0.67","13.00","117,356,725","4,875,545","4.15%","Analyze"
"AVPT","AvePoint, Inc. - Class A","06/28/2021","$1,571,977,403","Software—Infrastructure","1.02","0.90","8.78","180,272,638","578,575","0.32%","Analyze"
"GB","Global Blue Group Holding AG","06/27/2016","$1,534,547,177","Software—Infrastructure","1.07","0.87","8.58","180,534,962","27,395","0.02%","Analyze"
"HIMS","Hims & Hers Health, Inc. Class A","09/13/2019","$1,514,021,322","Household & Personal Products","0.92","0.63","7.44","194,854,739","1,835,800","0.94%","Analyze"
"NFH","New Frontier Health Corporation","07/27/2018","$1,476,452,455","Medical Care Facilities","0.99","1.02","11.16","131,356,980","151,328","0.12%","Analyze"
"TTCF","Tattooed Chef, Inc. - Class A","09/12/2018","$1,457,116,215","Packaged Foods","0.99","0.87","17.69","81,952,543","866,531","1.06%","Analyze"
"BTRS","BTRS Holdings Inc. - Class 1","08/06/2019","$1,418,458,487","Software—Application","0.91","0.63","8.64","153,016,018","941,663","0.62%","Analyze"
"ML","MoneyLion Inc. Class A","12/27/1999","$1,368,375,133","Software—Application","0.94","0.62","6.06","226,177,708","1,154,938","0.51%","Analyze"
"LTCH","Latch, Inc.","12/31/2020","$1,367,502,167","Software—Application","0.92","0.76","9.13","141,270,885","1,175,481","0.83%","Analyze"
"HYZN","Hyzon Motors Inc. - Class A","07/14/2021","$1,344,853,495","Auto Manufacturers","0.92","0.66","5.17","247,215,716","2,838,488","1.15%","Analyze"
"BGRY","Berkshire Grey, Inc. - Class A","02/11/2021","$1,326,680,581","Specialty Industrial Machinery","0.95","0.61","5.63","222,597,413","424,884","0.19%","Analyze"
"HYLN","Hyliion Holdings Corp. Class A","04/22/2019","$1,315,162,862","Auto Manufacturers","0.96","0.66","7.34","173,047,745","2,899,188","1.68%","Analyze"
"RBOT","Vicarious Surgical Inc. Class A","09/04/2020","$1,308,404,101","Medical Devices","1.00","1.04","10.79","118,622,312","301,346","0.25%","Analyze"
